BMP,,,2021,2022,2023,2024,2025
Giai đoạn,,,01/01-31/12,01/01-31/12,01/01-31/12,01/01-31/12,01/01-31/12
Hợp nhất,,,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,,,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,KPMG,KPMG,KPMG,KPMG,
Ý kiến kiểm toán,,,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,
,,,,,,,
TÀI SẢN,,,,,,,
A. TÀI SẢN NGẮN HẠN,,,"2,008","2,215","2,594","2,596","2,758"
I. Tiền và các khoản tương đương tiền,,,173,359,821,504,297
II. Đầu tư tài chính ngắn hạn,,,815,965,"1,190","1,410","1,760"
III. Các khoản phải thu ngắn hạn,,,370,279,174,178,129
IV. Hàng tồn kho,,,619,577,364,464,525
V. Tài sản ngắn hạn khác,,,32,36,44,41,47
B. TÀI SẢN DÀI HẠN,,,830,830,661,604,620
I. Các khoản phải thu dài hạn,,,,20,20,20,20
II. Tài sản cố định,,,382,368,286,265,266
III. Bất động sản đầu tư,,,,,,,
IV. Tài sản dở dang dài hạn,,,20,25,12,20,48
V. Đầu tư tài chính dài hạn,,,112,66,64,64,67
VI. Tài sản dài hạn khác,,,316,350,279,236,219
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,,,,
TỔNG CỘNG TÀI SẢN,,,"2,838","3,045","3,255","3,200","3,379"
NGUỒN VỐN,,,,,,,
A. NỢ PHẢI TRẢ,,,545,423,565,499,501
I. Nợ ngắn hạn,,,523,403,546,481,484
II. Nợ dài hạn,,,22,20,19,18,18
B. VỐN CHỦ SỞ HỮU,,,"2,293","2,621","2,690","2,702","2,877"
I. Vốn chủ sở hữu,,,"2,293","2,621","2,690","2,702","2,877"
II. Nguồn kinh phí và quỹ khác,,,,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,,,,
TỔNG CỘNG NGUỒN VỐN,,,"2,838","3,045","3,255","3,200","3,379"
